,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
0,0,27.0,0.00021646799999075483,"[1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0
 1 1 0 1 1 0 0 0 1 0 0 0 0]",1,2048,1,geometric,1,0.99,0.001,0.9999978244262652
1,1,27.0,0.0006857120000063333,"[1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0
 1 1 0 1 1 0 0 0 1 0 0 0 0]",1,2048,1,geometric,1,0.99,0.001,0.9999931083878484
2,2,27.0,0.0011297750000096585,"[1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0
 1 1 0 1 1 0 0 0 1 0 0 0 0]",1,2048,1,geometric,1,0.99,0.001,0.9999886454462744
3,4,29.0,0.0019185849999985294,"[1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0
 1 1 0 1 1 0 0 0 1 0 0 1 0]",1,2048,1,geometric,1,0.99,0.001,0.9999807177622912
4,8,29.0,0.0037611500000025444,"[1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 0 1 1 1 0
 1 1 0 1 1 0 0 0 1 0 0 1 0]",1,2048,1,geometric,1,0.99,0.001,0.9999621998937466
5,16,31.0,0.007593229999997675,"[1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 0 0
 1 1 0 1 1 0 0 0 1 0 0 1 0]",1,2048,1,geometric,1,0.99,0.001,0.9999236884001654
6,32,37.0,0.012449935999995887,"[1 0 1 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 0 0 1 1 0
 1 1 0 1 1 0 1 0 1 0 1 1 0]",1,2048,1,geometric,1,0.99,0.001,0.9998748817897817
7,64,37.0,0.02174304900000834,"[1 0 1 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 1
 0 1 0 1 0 0 1 0 1 0 1 1 0]",1,2048,1,geometric,1,0.99,0.001,0.9997814989299074
8,128,42.0,0.039359216000008246,"[1 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1
 0 1 0 1 0 0 1 0 1 0 1 0 1]",1,2048,1,geometric,1,0.99,0.001,0.9996045048890876
9,256,42.0,0.07232798399999751,"[1 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1
 0 1 0 0 1 0 1 0 1 0 1 0 1]",1,2048,1,geometric,1,0.99,0.001,0.9992733436119149
10,512,46.0,0.14547556799999484,"[1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0
 1 0 1 0 1 0 1 0 1 0 1 0 1]",1,2048,1,geometric,1,0.99,0.001,0.9985389899989063
11,1024,48.0,0.2926471609999908,"[1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 0 1 0 1 0 1 0 1 0 1]",1,2048,1,geometric,1,0.99,0.001,0.9970631188432819
12,2048,48.0,0.6686053980000111,"[1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 0 1 0 1 0 1 0 1 0 1]",1,2048,1,geometric,1,0.99,0.001,0.9933028179538449
13,0,27.0,0.0002440959999887582,"[1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0
 1 1 0 1 1 0 0 0 1 0 0 0 0]",10,2048,10,geometric,10,0.99,0.001,9.999975467562289
14,1,25.0,0.0009036289999926339,"[1 0 1 0 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0
 1 1 0 1 1 0 0 0 1 0 0 0 0]",10,2048,10,geometric,10,0.99,0.001,9.999909182663023
15,2,23.0,0.0016685070000050928,"[1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0
 1 1 0 1 1 0 0 0 1 0 0 0 0]",10,2048,10,geometric,10,0.99,0.001,9.999832310848758
