,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
0,0,1064.0,0.0046805789999999625,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",100,0.2,2048,100,0.2
1,2,1359.0,0.02881169700000008,"[16  6  1 19 14  2 16 10 10  3 17  4 18 14 19  9 16 15 16 19 13  5 17 10
 16  0 13 16  1  2  5  2 18 12 18]",100,0.2,2048,100,0.2
2,4,1434.0,0.053091438999999685,"[12  0 10 14  8 19  9  8 19  0 12 18 18 15  7 10 16  5  2 19 11 17 16 12
 19 16 13  9 17 12 13  3 14  7 10]",100,0.2,2048,100,0.2
3,8,1516.0,0.10106694100000002,"[ 1  7  3 16 18 12 13 13 15 17 12  5 19  9  8  5 15 13 10 14 17 17 13 15
 17 10 18  5 19 12  5  6 18 19 19]",100,0.2,2048,100,0.2
4,16,1630.0,0.196792635,"[ 1  0 15 16 14 19 13  1 19  0 19  9 18 14  1 17 15 13 10 19 19 17 16  0
 19  5 19  4 19 11  5 19 18 16 19]",100,0.2,2048,100,0.2
5,32,1690.0,0.387296616,"[ 6 17  8 16 16 19 13 14 15  4 19  3 19 13 19  7 15 13  0  9 19 17 18  8
 19  5 19 18 19 15 15 12 18 18 19]",100,0.2,2048,100,0.2
6,64,1748.0,0.7735342299999997,"[ 1  0  3 16 16 19 15 16 19  0 19  3 19 16 19 18 15 13  0 19 19 19 18 11
 19  0 19 18 12 17 15  9 14 19 19]",100,0.2,2048,100,0.2
7,128,1803.0,1.601872229,"[ 1  0  1 19 16 19 19 17 19  0 19  0 19 19 19 18 18 17  0 19 19 19 18  0
 19  0 19 12  9 17 15 19 18 19 15]",100,0.2,2048,100,0.2
8,256,1835.0,3.263669217,"[ 1  0  0 19 16 19 19 18 19  0 19  0 19 16 19 18 18 19  0 19 19 19 19  0
 19  8 19 18  2 19 15 19 19 19 19]",100,0.2,2048,100,0.2
9,512,1835.0,6.678652971,"[ 1  0  0 19 16 19 19 18 19  0 19  0 19 16 19 18 18 19  0 19 19 19 19  0
 19  8 19 18  2 19 15 19 19 19 19]",100,0.2,2048,100,0.2
