,Iteration,Time,Fitness,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
0,0,0.0058635560001221165,1064.0,100,0.25,True,4096,100,0.25
1,1,0.15738564900016172,1388.0,100,0.25,True,4096,100,0.25
2,2,0.3061351610001566,1402.0,100,0.25,True,4096,100,0.25
3,3,0.43603413400001045,1402.0,100,0.25,True,4096,100,0.25
4,4,0.5900817810002081,1402.0,100,0.25,True,4096,100,0.25
5,5,0.7285215110000536,1402.0,100,0.25,True,4096,100,0.25
6,6,0.9004792770001586,1402.0,100,0.25,True,4096,100,0.25
7,7,1.0914396650000526,1402.0,100,0.25,True,4096,100,0.25
8,8,1.2705916209999941,1402.0,100,0.25,True,4096,100,0.25
9,9,1.4527621090001048,1402.0,100,0.25,True,4096,100,0.25
10,10,1.629310372000191,1402.0,100,0.25,True,4096,100,0.25
11,11,1.800930132000076,1402.0,100,0.25,True,4096,100,0.25
12,12,1.9922301550000157,1402.0,100,0.25,True,4096,100,0.25
13,13,2.166229042000168,1402.0,100,0.25,True,4096,100,0.25
14,14,2.3467066130001513,1402.0,100,0.25,True,4096,100,0.25
15,15,2.533947270999988,1402.0,100,0.25,True,4096,100,0.25
16,16,2.724769830000014,1402.0,100,0.25,True,4096,100,0.25
17,17,2.9276974510000855,1402.0,100,0.25,True,4096,100,0.25
18,18,3.1319073660001777,1402.0,100,0.25,True,4096,100,0.25
19,19,3.316505417000144,1402.0,100,0.25,True,4096,100,0.25
20,20,3.5093506130001515,1402.0,100,0.25,True,4096,100,0.25
21,21,3.703814244000114,1402.0,100,0.25,True,4096,100,0.25
22,22,3.8810539280000285,1402.0,100,0.25,True,4096,100,0.25
23,23,4.064747949000093,1402.0,100,0.25,True,4096,100,0.25
24,24,4.236340483000049,1402.0,100,0.25,True,4096,100,0.25
25,25,4.410826127000064,1402.0,100,0.25,True,4096,100,0.25
26,26,4.583106798000017,1402.0,100,0.25,True,4096,100,0.25
27,27,4.750503627000171,1402.0,100,0.25,True,4096,100,0.25
28,28,4.923782261000042,1402.0,100,0.25,True,4096,100,0.25
29,29,5.114239423000072,1402.0,100,0.25,True,4096,100,0.25
30,30,5.304575550000209,1402.0,100,0.25,True,4096,100,0.25
31,31,5.491306415000054,1402.0,100,0.25,True,4096,100,0.25
32,32,5.6807441560001735,1402.0,100,0.25,True,4096,100,0.25
33,33,5.873635576000197,1402.0,100,0.25,True,4096,100,0.25
34,34,6.080896025000129,1402.0,100,0.25,True,4096,100,0.25
35,35,6.2683350430002065,1402.0,100,0.25,True,4096,100,0.25
36,36,6.4607950280001205,1402.0,100,0.25,True,4096,100,0.25
37,37,6.657237317000181,1402.0,100,0.25,True,4096,100,0.25
38,38,6.84933425600002,1402.0,100,0.25,True,4096,100,0.25
39,39,7.0457861560000765,1402.0,100,0.25,True,4096,100,0.25
40,40,7.230049779000183,1402.0,100,0.25,True,4096,100,0.25
41,41,7.418884019000188,1402.0,100,0.25,True,4096,100,0.25
42,42,7.593572330000143,1402.0,100,0.25,True,4096,100,0.25
43,43,7.764504506000094,1402.0,100,0.25,True,4096,100,0.25
44,44,7.945260527000073,1402.0,100,0.25,True,4096,100,0.25
45,45,8.12486829500017,1402.0,100,0.25,True,4096,100,0.25
46,46,8.301775391000092,1402.0,100,0.25,True,4096,100,0.25
47,47,8.468664740000122,1402.0,100,0.25,True,4096,100,0.25
48,48,8.640389141000014,1402.0,100,0.25,True,4096,100,0.25
49,49,8.820118507000188,1402.0,100,0.25,True,4096,100,0.25
50,50,9.005393556000172,1402.0,100,0.25,True,4096,100,0.25
51,51,9.192335569000079,1402.0,100,0.25,True,4096,100,0.25
52,52,9.384596232000149,1402.0,100,0.25,True,4096,100,0.25
