,Iteration,Fitness,Time,State,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
0,0,1064.0,0.0058635560001221165,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",100,0.25,True,4096,100,0.25
1,1,1388.0,0.15738564900016172,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  2.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
2,2,1402.0,0.3061351610001566,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  9.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
3,4,1402.0,0.5900817810002081,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  9.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
4,8,1402.0,1.2705916209999941,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  9.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
5,16,1402.0,2.724769830000014,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  9.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
6,32,1402.0,5.6807441560001735,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  9.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
7,64,1402.0,11.594877773000007,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  9.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
8,128,1402.0,23.945151329000055,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  9.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
9,256,1402.0,46.4797282840002,"[15. 16. 10.  2. 14. 19. 17. 12. 11.  4. 12. 18. 19. 14.  1. 14. 11. 16.
 15. 10. 11. 16. 16. 18. 17.  3.  0.  9.  2. 18. 13.  6. 14. 19.  0.]",100,0.25,True,4096,100,0.25
