,Iteration,Fitness,Time,State,current_restart,max_iters,Restarts
0,0,1064.0,0.00010416399999990666,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",0,2048,0
1,2,1116.0,0.000546903000000043,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",0,2048,0
2,4,1150.0,0.0009671399999999775,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,0
3,8,1150.0,0.001499343999999958,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,0
4,16,1160.0,0.002353614000000004,"[15  4  3 19  7 14  8 14 10 18  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,0
5,32,1306.0,0.003977616000000017,"[15  4  3 19 12 14 13 14 12 18  7 16 16 16 16 12 13 11  6 19 12  5 16 14
  2  9 14  8  8 14  9  3  3  8 19]",0,2048,0
6,64,1340.0,0.006767337999999956,"[15  4  3 19 12 14 13 14 12 18  7 16 16 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,0
7,128,1355.0,0.012435575000000032,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,0
8,256,1355.0,0.02399039199999997,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,0
9,512,1355.0,0.05228060499999998,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,0
10,1024,1355.0,0.12586980400000014,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,0
11,2048,1355.0,0.1376674630000001,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,0
12,0,1064.0,0.00010032200000020808,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",0,2048,5
13,2,1116.0,0.000494178999999928,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",0,2048,5
14,4,1150.0,0.0009087999999999319,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,5
15,8,1150.0,0.0014339730000001438,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,5
16,16,1160.0,0.002273676000000169,"[15  4  3 19  7 14  8 14 10 18  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,5
17,32,1306.0,0.003994383000000212,"[15  4  3 19 12 14 13 14 12 18  7 16 16 16 16 12 13 11  6 19 12  5 16 14
  2  9 14  8  8 14  9  3  3  8 19]",0,2048,5
18,64,1340.0,0.00689603399999994,"[15  4  3 19 12 14 13 14 12 18  7 16 16 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,5
19,128,1355.0,0.01267397300000006,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,5
20,256,1355.0,0.02605743699999996,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,5
21,512,1355.0,0.05556912400000025,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,5
22,1024,1355.0,0.13184137399999996,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,5
23,2048,1355.0,0.14310272499999988,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,5
24,0,1064.0,0.00010960300000029122,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",0,2048,25
25,2,1116.0,0.0006359929999999459,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",0,2048,25
26,4,1150.0,0.001127431000000012,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,25
27,8,1150.0,0.0017305830000000633,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,25
28,16,1160.0,0.0026020250000002854,"[15  4  3 19  7 14  8 14 10 18  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,25
29,32,1306.0,0.004360446000000184,"[15  4  3 19 12 14 13 14 12 18  7 16 16 16 16 12 13 11  6 19 12  5 16 14
  2  9 14  8  8 14  9  3  3  8 19]",0,2048,25
30,64,1340.0,0.007176112999999873,"[15  4  3 19 12 14 13 14 12 18  7 16 16 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,25
31,128,1355.0,0.012858089000000295,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,25
32,256,1355.0,0.025266811000000278,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,25
33,512,1355.0,0.05368020899999992,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,25
34,1024,1355.0,0.12661898100000002,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,25
35,2048,1355.0,0.13745720800000027,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,25
36,0,1064.0,9.847900000004017e-05,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",0,2048,75
37,2,1116.0,0.0004879880000001613,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",0,2048,75
38,4,1150.0,0.0008986460000000029,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,75
39,8,1150.0,0.0014153980000002342,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,75
40,16,1160.0,0.0022467630000000405,"[15  4  3 19  7 14  8 14 10 18  7  6  4 16  7 12 13 11  6 19 12  5 16 11
  2  9 14  6  8 14  9  3  3  8 19]",0,2048,75
41,32,1306.0,0.003837365999999953,"[15  4  3 19 12 14 13 14 12 18  7 16 16 16 16 12 13 11  6 19 12  5 16 14
  2  9 14  8  8 14  9  3  3  8 19]",0,2048,75
42,64,1340.0,0.006543686000000104,"[15  4  3 19 12 14 13 14 12 18  7 16 16 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,75
43,128,1355.0,0.011924329000000178,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,75
44,256,1355.0,0.024627291000000273,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,75
45,512,1355.0,0.05409679399999989,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,75
46,1024,1355.0,0.13120145900000013,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,75
47,2048,1355.0,0.14201367599999992,"[15  4  3 19 12 14 13 14 12 18  9 16 17 16 16 18 13 11  6 19 12  5 16 14
  2  9 14 13  8 14  9  3  3  8 19]",0,2048,75
