,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
0,0,1064.0,0.00012084500008313626,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",1,2048,1,geometric,1,0.99,0.001,0.9999987854679004
1,1,1064.0,0.0005252549999568146,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",1,2048,1,geometric,1,0.99,0.001,0.9999947210247755
2,2,1094.0,0.0009131970000453293,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9 13  3  8 19]",1,2048,1,geometric,1,0.99,0.001,0.9999908221055662
3,4,1128.0,0.001408684000125504,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  3  8 19]",1,2048,1,geometric,1,0.99,0.001,0.9999858423529077
4,8,1136.0,0.002099030999943352,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  5  8 19]",1,2048,1,geometric,1,0.99,0.001,0.999978904256002
5,16,1229.0,0.0032439470001008885,"[15  4  3 19 12 14  8 14 10  8  7  6  4 16  7 12 13 11  6 19 16  5 16 11
  2  9 14  6  8 14  9 13  5  8 19]",1,2048,1,geometric,1,0.99,0.001,0.9999673977746222
6,32,1327.0,0.005292561000032947,"[15  4  3 19 12 16 13 14 12  8  7  7 10 16  7 12 13 11  6 19 16  5 16 14
  2  9 14  8 16 14  9 13  5  8 19]",1,2048,1,geometric,1,0.99,0.001,0.9999468093990947
7,64,1392.0,0.00895016399999804,"[15  4  3 19 12 16 13 14 12  8  7  7 10 16  7 12 13 11  6 19 16 12 16 14
  2  9 14 15 16 14  9 13  5 12 19]",1,2048,1,geometric,1,0.99,0.001,0.9999100518914298
8,128,1392.0,0.01645515399991382,"[15  4  3 19 12 16 13 14 12  8  7  7 10 16  7 12 13 11  6 19 16 12 16 14
  2  9 14 15 16 14  9 13  5 12 19]",1,2048,1,geometric,1,0.99,0.001,0.999834633850269
9,256,1392.0,0.032900263000101404,"[15  4  3 19 12 16 13 14 12  8  7  7 10 16  7 12 13 11  6 19 16 12 16 14
  2  9 14 15 16 14  9 13  5 12 19]",1,2048,1,geometric,1,0.99,0.001,0.999669395968741
10,512,1392.0,0.0727500919999784,"[15  4  3 19 12 16 13 14 12  8  7  7 10 16  7 12 13 11  6 19 16 12 16 14
  2  9 14 15 16 14  9 13  5 12 19]",1,2048,1,geometric,1,0.99,0.001,0.9992691043764549
