,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
0,0,1211.1046030266018,0.005670553000000744,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],100,0.2,2048,100,0.2
1,2,879.1141837663064,0.04406363700000071,[21  5  2 13 16  6  4  7 14  9 20  8 18 12 11  0 17 19  1 10 15  3],100,0.2,2048,100,0.2
2,4,768.7884016648516,0.08124541400000052,[18 17  9  2  8 16 14 20  5 12  6  4 21 15  0  7 10 13 11  3  1 19],100,0.2,2048,100,0.2
3,8,759.1020010110851,0.15343685300000054,[18 17  9  2  8 20 14  3 21 16 15 12  0  7 10  4 11  5 13  6  1 19],100,0.2,2048,100,0.2
4,16,685.3375278099244,0.2950685900000005,[19 17  9  2 18  8 16 14 20  5 12 21 11  6  4 13 10  0 15  7  3  1],100,0.2,2048,100,0.2
5,32,642.3090165200334,0.5827506160000002,[16 17  9 18  2  8  5 14 20 19  1 13 11  6 10  3  7 15 12  0  4 21],100,0.2,2048,100,0.2
6,64,618.448040152612,1.1522530260000003,[ 3 17  2 18  8  0  9 20  5 14  7 21 16 15 12 19  1 13 11  6  4 10],100,0.2,2048,100,0.2
7,128,566.0528835575691,2.305458422,[ 3 17  2 18  8 14  9 20  5  0  7 21 16 15 12 19  1 13  6 11  4 10],100,0.2,2048,100,0.2
8,256,553.9472993619156,4.683565423,[ 3 17  2 18  8 20 14  9  5  0  7 21 16 15 12 19  1 13  4 11  6 10],100,0.2,2048,100,0.2
9,512,539.8926815736885,9.698369082,[10  3 17  2 18  8  9 14 20  5  0  7 16 21 15 12 19  1 13  4 11  6],100,0.2,2048,100,0.2
10,1024,539.8926815736885,19.665720737,[10  3 17  2 18  8  9 14 20  5  0  7 16 21 15 12 19  1 13  4 11  6],100,0.2,2048,100,0.2
11,2048,488.1825647949316,38.632040678,[ 6 21 16  3 10  7  2 18  8  9 14 20  5 15 12  0 17 19  1 13  4 11],100,0.2,2048,100,0.2
12,0,1211.1046030266018,0.005241805999993687,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],100,0.4,2048,100,0.4
13,2,879.1141837663064,0.03880187899999754,[21  5  2 13 16  6  4  7 14  9 20  8 18 12 11  0 17 19  1 10 15  3],100,0.4,2048,100,0.4
14,4,781.5030196778454,0.07242487799999964,[21  7 13  3 17 20 12 11  6 10  4  1  8 18 15  0 19  2  9 14  5 16],100,0.4,2048,100,0.4
15,8,778.4481253007744,0.1396450529999953,[ 8 14  9 15 16  7  6 17  2 18 20  5 12 19  0  3 11 21  4 10 13  1],100,0.4,2048,100,0.4
16,16,778.4481253007744,0.2743450519999939,[ 8 14  9 15 16  7  6 17  2 18 20  5 12 19  0  3 11 21  4 10 13  1],100,0.4,2048,100,0.4
