,Iteration,Fitness,Time,State,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
0,0,1211.1046030266018,0.0055542940001487295,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],100,0.25,True,4096,100,0.25
1,1,865.7922998234625,0.17538939700011724,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 15 19  1 10 16 17],100,0.25,True,4096,100,0.25
2,2,853.9928838752878,0.3392959410000458,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
3,4,853.9928838752878,0.6528919370000494,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
4,8,853.9928838752878,1.3215529660001266,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
5,16,853.9928838752878,2.7367419150000387,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
6,32,853.9928838752878,5.556257071000118,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
7,64,853.9928838752878,11.174395295000068,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
8,128,853.9928838752878,22.131317694000018,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
9,256,853.9928838752878,44.03865130600002,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
10,512,853.9928838752878,88.53754621500002,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
11,1024,853.9928838752878,177.65118895800015,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
12,2048,853.9928838752878,355.60148758100013,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
13,4096,853.9928838752878,717.0627547400002,[ 0  5  2 13  3  6  4  7 14  9 20  8 18 12 11 21 17  1 19 10 16 15],100,0.25,True,4096,100,0.25
14,0,1211.1046030266018,0.005702953000309208,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],100,0.5,True,4096,100,0.5
15,1,868.4056172767013,0.1813814120000643,[19 13 10  8  9 20 12 17  7 15 14  0  2 18  6 21 16 11  4  5  3  1],100,0.5,True,4096,100,0.5
16,2,798.9816362733325,0.35215566400029275,[15 21 12  5 11  7  6  3  0 14  9  2  1 19 18 20  8 17 13  4 10 16],100,0.5,True,4096,100,0.5
17,4,797.4096771306828,0.6979829510000854,[15 12 21 11  6 10 13  1  4  3 17 14 20  8  9  7 19 16  0 18  2  5],100,0.5,True,4096,100,0.5
18,8,747.2602253936851,1.383102364000024,[15 20 21 11  6 13  3 19  4 12 17  1 18  8  2  7 16 10  0  9 14  5],100,0.5,True,4096,100,0.5
19,16,692.5920254321292,2.7518053830003737,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
20,32,692.5920254321292,5.5662595370004055,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
21,64,692.5920254321292,11.185659174000193,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
22,128,692.5920254321292,22.36343413900022,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
23,256,692.5920254321292,46.087142158999995,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
24,512,692.5920254321292,93.74499438200019,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
25,1024,692.5920254321292,188.4352153650002,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
26,2048,692.5920254321292,376.72417720500016,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
27,4096,692.5920254321292,769.6713599610002,[20 16 21 11  6 10  3  7  4 12 17 15 18  8  2 13  1 19  0  9 14  5],100,0.5,True,4096,100,0.5
28,0,1211.1046030266018,0.020126689999869996,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],300,0.25,True,4096,300,0.25
29,1,857.8643760794295,0.5184408099999018,[ 3 14 10  4  1 13 16 11 12 15  5  8 18  2 17  0 21  6 19  7 20  9],300,0.25,True,4096,300,0.25
30,2,832.7225182256872,0.9998049199998604,[ 9  0 16 10  8  2 19  1 13 21 11  3 17 20 12  5 18  7  6  4 15 14],300,0.25,True,4096,300,0.25
31,4,777.6140225525537,1.9718877159998556,[11  4  6 21  3 16 10 13  7  9 18  8 19 20  5 14  2  0 17 15 12  1],300,0.25,True,4096,300,0.25
32,8,753.2728706550254,3.9286240480000743,[18  8  2  7 17  1  4 13  0 12 19 14  5 15 21 16 10 11  3  6  9 20],300,0.25,True,4096,300,0.25
33,16,743.4321699842105,7.937942785999894,[18  8  2  7 17  1  4  3  0 12 19 14  5 15 21 16 10 11 13  6 20  9],300,0.25,True,4096,300,0.25
34,32,743.4321699842105,16.93888389299991,[18  8  2  7 17  1  4  3  0 12 19 14  5 15 21 16 10 11 13  6 20  9],300,0.25,True,4096,300,0.25
35,64,743.4321699842105,35.0527029750001,[18  8  2  7 17  1  4  3  0 12 19 14  5 15 21 16 10 11 13  6 20  9],300,0.25,True,4096,300,0.25
36,128,743.4321699842105,70.79947357099991,[18  8  2  7 17  1  4  3  0 12 19 14  5 15 21 16 10 11 13  6 20  9],300,0.25,True,4096,300,0.25
37,256,743.4321699842105,133.265719171,[18  8  2  7 17  1  4  3  0 12 19 14  5 15 21 16 10 11 13  6 20  9],300,0.25,True,4096,300,0.25
38,512,743.4321699842105,260.740668981,[18  8  2  7 17  1  4  3  0 12 19 14  5 15 21 16 10 11 13  6 20  9],300,0.25,True,4096,300,0.25
