,Iteration,Fitness,Time,State,current_restart,max_iters,Restarts
0,0,1211.1046030266018,0.0001246820000000426,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],0,2048,0
1,2,1210.120124734893,0.0005582289999999102,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],0,2048,0
2,4,1210.120124734893,0.000886431999999937,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],0,2048,0
3,8,1182.0356871911797,0.001465276999999876,[ 1  5 18 21 19 12 11  0 20  6  2 16 13 10 17  9 14  8  4  3  7 15],0,2048,0
4,16,970.662947421803,0.002358843999999971,[ 1  5 18  8 19 12 11  0 20  6  2  4 13 10 17  9 14 21 16  3  7 15],0,2048,0
5,32,853.5798343529784,0.004004914999999887,[ 1  5 18  8 19 12 10  0 20 15  2  4  6 11 13  9 14 21 16  3  7 17],0,2048,0
6,64,820.6709519127387,0.007878330999999905,[ 1  9 18  8 19 17  3  0 14 15 12 11  6  4 13  5 20 21 16  2  7 10],0,2048,0
7,128,719.4183786273119,0.01493045500000001,[ 1  9 18  8  2 17  7  5 14 20 12 11  6  4 13 19 15 21 16  0  3 10],0,2048,0
8,256,654.620521999207,0.028048658999999976,[15  9 18  8  2 17  7  5 14 20 12  0 10  4  1 19 13 11 16 21  3  6],0,2048,0
9,512,528.4676487440818,0.05868732100000007,[13  7 17  2 18  8  9  5 14 20 15 12  0 19  1  4 10  3 16 21  6 11],0,2048,0
10,1024,507.61123371464737,0.1340836569999999,[ 4 13  1  2 18  8  9  5 14 20 15 12  0 17 19  7 10  3 16 21  6 11],0,2048,0
11,2048,481.1386527714594,0.3316735769999999,[ 4 13  1 19  2 18  8 14  5 20 15 12  0  9 17  7 10  3 16 21  6 11],0,2048,0
12,0,1211.1046030266018,8.941500000014813e-05,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],0,2048,5
13,2,1210.120124734893,0.00046807299999995777,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],0,2048,5
14,4,1210.120124734893,0.0007989120000000405,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],0,2048,5
15,8,1182.0356871911797,0.0013842569999999998,[ 1  5 18 21 19 12 11  0 20  6  2 16 13 10 17  9 14  8  4  3  7 15],0,2048,5
16,16,970.662947421803,0.0023106910000001424,[ 1  5 18  8 19 12 11  0 20  6  2  4 13 10 17  9 14 21 16  3  7 15],0,2048,5
17,32,853.5798343529784,0.003985533000000041,[ 1  5 18  8 19 12 10  0 20 15  2  4  6 11 13  9 14 21 16  3  7 17],0,2048,5
18,64,820.6709519127387,0.007293600999999983,[ 1  9 18  8 19 17  3  0 14 15 12 11  6  4 13  5 20 21 16  2  7 10],0,2048,5
19,128,719.4183786273119,0.013551639000000115,[ 1  9 18  8  2 17  7  5 14 20 12 11  6  4 13 19 15 21 16  0  3 10],0,2048,5
20,256,654.620521999207,0.026221951000000132,[15  9 18  8  2 17  7  5 14 20 12  0 10  4  1 19 13 11 16 21  3  6],0,2048,5
21,512,528.4676487440818,0.05666962800000008,[13  7 17  2 18  8  9  5 14 20 15 12  0 19  1  4 10  3 16 21  6 11],0,2048,5
22,1024,507.61123371464737,0.13061819800000007,[ 4 13  1  2 18  8  9  5 14 20 15 12  0 17 19  7 10  3 16 21  6 11],0,2048,5
23,2048,481.1386527714594,0.33276729000000027,[ 4 13  1 19  2 18  8 14  5 20 15 12  0  9 17  7 10  3 16 21  6 11],0,2048,5
24,0,1211.1046030266018,8.976199999999324e-05,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],0,2048,20
25,2,1210.120124734893,0.0004626370000000435,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],0,2048,20
26,4,1210.120124734893,0.0007944800000001528,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],0,2048,20
27,8,1182.0356871911797,0.0013830650000001832,[ 1  5 18 21 19 12 11  0 20  6  2 16 13 10 17  9 14  8  4  3  7 15],0,2048,20
28,16,970.662947421803,0.002343726999999962,[ 1  5 18  8 19 12 11  0 20  6  2  4 13 10 17  9 14 21 16  3  7 15],0,2048,20
29,32,853.5798343529784,0.0041687930000002815,[ 1  5 18  8 19 12 10  0 20 15  2  4  6 11 13  9 14 21 16  3  7 17],0,2048,20
30,64,820.6709519127387,0.007401987000000165,[ 1  9 18  8 19 17  3  0 14 15 12 11  6  4 13  5 20 21 16  2  7 10],0,2048,20
31,128,719.4183786273119,0.013571118000000215,[ 1  9 18  8  2 17  7  5 14 20 12 11  6  4 13 19 15 21 16  0  3 10],0,2048,20
32,256,654.620521999207,0.026251051000000025,[15  9 18  8  2 17  7  5 14 20 12  0 10  4  1 19 13 11 16 21  3  6],0,2048,20
