,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
0,0,1211.1046030266018,9.145299986812461e-05,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],1,2048,1,geometric,1,0.99,0.001,0.9999990808670589
1,1,1210.120124734893,0.00042878599992945965,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],1,2048,1,geometric,1,0.99,0.001,0.999995690565977
2,2,1210.120124734893,0.0007324650000555266,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],1,2048,1,geometric,1,0.99,0.001,0.9999926385078445
3,4,1191.1486450405391,0.00117142099998091,[17  5  2 21 19 12 11  0 20  6 18 16 13 10  1  9  8 14  4  3  7 15],1,2048,1,geometric,1,0.99,0.001,0.9999882268948279
4,8,1064.2709283757827,0.0019018499999674532,[17  5  0 21  7 12 11  2 20  6  3 16 13 10  1  9  8 14  4 18 19 15],1,2048,1,geometric,1,0.99,0.001,0.9999808859514331
5,16,874.3822560840775,0.0031344330000138143,[17  5 20 21  7 12 11  2  0 13  4 16  6 10  1  3  9 14  8 18 19 15],1,2048,1,geometric,1,0.99,0.001,0.9999684983918257
6,32,685.387728477996,0.005180570999982592,[17  9 20 21  7  3 10  2  0 16  4 13  6 11 15 12  5 14  8 18 19  1],1,2048,1,geometric,1,0.99,0.001,0.9999479348769729
7,64,685.387728477996,0.008682884999871021,[17  9 20 21  7  3 10  2  0 16  4 13  6 11 15 12  5 14  8 18 19  1],1,2048,1,geometric,1,0.99,0.001,0.9999127378971328
8,128,630.5875577048714,0.015928100999872186,[ 2  9 20 17  7 10  3  0 21 16  6 13  4 11 15 12  5 14  8 18 19  1],1,2048,1,geometric,1,0.99,0.001,0.9998399300480049
9,256,585.3812197466543,0.031098215999918466,[ 2 14 20 17  7 10  3  0 16 21  6 11  4 13 12 15  5  9  8 18 19  1],1,2048,1,geometric,1,0.99,0.001,0.9996875013226425
10,512,578.6088639960863,0.07060541999999259,[ 2 14 20  0  7 10 17  3 16 21  6 11  4 13 12 15  5  9  8 18 19  1],1,2048,1,geometric,1,0.99,0.001,0.9992906435282675
11,1024,554.9493326161466,0.15464796499986733,[ 2 14 20  0 17  7 10  3 16 21  6 11 13  4 12 15  5  9  8 18 19  1],1,2048,1,geometric,1,0.99,0.001,0.9984469432554229
12,2048,554.9493326161466,0.3813188789999913,[ 2 14 20  0 17  7 10  3 16 21  6 11 13  4 12 15  5  9  8 18 19  1],1,2048,1,geometric,1,0.99,0.001,0.9961749514055829
13,0,1211.1046030266018,9.497399992142164e-05,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],10,2048,10,geometric,10,0.99,0.001,9.99999045479859
14,1,1210.120124734893,0.0004079479999745672,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],10,2048,10,geometric,10,0.99,0.001,9.999958999939945
15,2,1210.120124734893,0.002667181999868262,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],10,2048,10,geometric,10,0.99,0.001,9.999731942843987
