,vi,pi,ql
0,3,3,2
1,2,2,2
2,2,2,2
3,2,2,3
4,2,2,2
5,2,2,2
6,2,2,2
7,2,2,1
8,3,3,1
9,3,3,2
10,3,3,3
11,3,3,3
12,3,3,2
13,2,2,2
14,2,2,1
15,1,1,1
16,3,3,3
17,3,3,3
18,0,0,0
19,0,0,0
20,2,2,2
21,3,3,3
22,2,2,2
23,1,1,1
24,3,3,2
25,3,3,3
26,3,3,0
27,1,1,0
28,0,0,0
29,0,0,0
30,2,2,2
31,2,2,2
32,0,0,3
33,3,3,3
34,0,0,0
35,0,0,0
36,2,2,2
37,1,1,1
38,3,3,3
39,2,2,2
40,0,0,0
41,0,0,0
42,0,0,0
43,1,1,0
44,3,3,3
45,0,0,0
46,0,0,0
47,2,2,2
48,0,0,0
49,0,0,0
50,1,1,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,2,2,2
56,0,0,0
57,1,1,1
58,0,0,0
59,0,0,0
60,1,1,0
61,2,2,1
62,1,1,1
63,0,0,0
