,Iteration to converge,Time to converge,Max V,Mean V
100,99,2.008478879928589,9400.832204541157,5839.126360832937
200,199,11.340539932250977,9199.082790952154,3785.5986822438554
300,299,31.138762950897217,9132.266776626739,2692.671360103045
400,399,54.540198802948,9110.138435964716,2055.933712235481
500,479,70.16660284996033,9103.66019052493,1653.98069043742
600,479,74.9860110282898,9103.66019052493,1386.68832403063
700,479,82.19373178482056,9103.66019052493,1195.765205168637
800,479,99.57120418548584,9103.66019052493,1052.5728660221425
900,479,125.43519496917725,9103.66019052493,941.2010466859799
1000,479,136.30278706550598,9103.66019052493,852.1035912170499
